id,num,neg|score,neg|p-value,neg|fdr,neg|rank,neg|goodsgrna,neg|lfc,pos|score,pos|p-value,pos|fdr,pos|rank,pos|goodsgrna,pos|lfc
PNMA3,4,0.12099,0.22478,1.0,4196,1,0.03704,0.75688,0.7567,1.0,13859,1,0.03704
ERO1L,4,0.12103,0.22483,1.0,4197,1,0.072066,0.32636,0.46256,1.0,8249,2,0.072066
C11orf49,4,0.12113,0.22493,1.0,4198,1,-0.13744,0.33346,0.47057,1.0,8413,1,-0.13744
ZFYVE21,4,0.12113,0.22494,1.0,4199,2,-0.10179,0.071502,0.16062,1.0,2795,1,-0.10179
ADGRG1,4,0.12115,0.22496,1.0,4200,2,-0.069273,0.42415,0.53131,1.0,9543,1,-0.069273
RNF144B,4,0.12118,0.225,1.0,4201,2,-0.14877,0.96516,0.9651,1.0,18170,0,-0.14877
ATP11AUN,4,0.12122,0.22505,1.0,4202,2,-0.06131,0.29453,0.4267,1.0,7579,2,-0.06131
BTG2,4,0.12127,0.22511,1.0,4203,1,0.091546,0.094097,0.19958,1.0,3517,2,0.091546
SPTSSB,4,0.12132,0.22518,1.0,4204,2,-0.25098,0.91155,0.91135,1.0,17004,0,-0.25098
LAMA3,4,0.12137,0.22524,1.0,4205,1,-0.12331,0.70798,0.71247,1.0,13005,1,-0.12331
CLLU1OS,4,0.12141,0.2253,1.0,4206,2,-0.052684,0.29525,0.42747,1.0,7596,1,-0.052684
NANOS1,4,0.12145,0.22534,1.0,4207,2,-0.1989,0.72354,0.72593,1.0,13278,1,-0.1989
SLC52A1,4,0.12146,0.22535,1.0,4208,2,-0.058765,0.19596,0.31589,1.0,5535,2,-0.058765
SLC25A38,4,0.12151,0.2254,1.0,4209,1,0.14043,0.20098,0.32153,1.0,5645,2,0.14043
CLSPN,4,0.12156,0.22544,1.0,4210,2,-0.070014,0.26137,0.38956,1.0,6859,2,-0.070014
FOXJ2,4,0.12165,0.22556,1.0,4211,1,-0.055983,0.85988,0.85941,1.0,15940,0,-0.055983
CYP4F2,4,0.12168,0.22559,1.0,4212,2,-0.18376,0.68931,0.69721,1.0,12722,1,-0.18376
HSPB2,4,0.1217,0.22561,1.0,4213,2,-0.19703,0.96361,0.96355,1.0,18139,0,-0.19703
HMX3,4,0.1217,0.22561,1.0,4214,1,0.31869,0.022496,0.060497,0.976581,1184,3,0.31869
