gene,beta_mean,beta_sd,psp,lfsr,tau_beta_mean,tau_u_mean,phi_mean,n_obs,n_sgrna,n_sample,batch_size
CCDC136,0.1649783233534375,0.3512944507518143,0.672,0.32799999999999996,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
CCDC14,0.03885556400580815,0.32683998409463805,0.539,0.46099999999999997,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
CCDC154,-0.08019382131023554,0.3311127508323665,0.402,0.402,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
CCDC179,0.12093057935229537,0.33237648233517875,0.633,0.367,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
CCDC60,0.06321531336890379,0.31302717421651954,0.573,0.42700000000000005,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
CCR4,0.09301926623790414,0.33111261565489064,0.584,0.41600000000000004,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
CCR5,-0.09801583839627648,0.34269842183824717,0.378,0.378,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
CD1D,0.014245109592151712,0.32105054362214946,0.502,0.498,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
CD2BP2,-0.11289870073043953,0.35315044745876367,0.387,0.387,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
CD302,0.07253080862027865,0.3407539065116144,0.586,0.41400000000000003,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
CD34,-0.08180319752738217,0.3319330841740512,0.411,0.411,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
CDNF,-0.15436298405471469,0.358652648833996,0.321,0.321,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
CEACAM3,0.0693047121770842,0.31209157076081195,0.574,0.42600000000000005,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
CECR6,-0.17217392736490866,0.34530147212503337,0.304,0.304,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
CELF3,-0.024182470810031966,0.3391067804901845,0.481,0.481,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
CEP120,0.028588847245991478,0.3121837035385947,0.524,0.476,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
CFHR5,0.028403422587274973,0.3270849045904895,0.528,0.472,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
CHRAC1,0.14927488848599682,0.3423476094979244,0.673,0.32699999999999996,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
CHST11,0.1630058145733201,0.3248190814078674,0.686,0.31399999999999995,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
CLCN5,-0.09133347004363246,0.3223574742787847,0.392,0.392,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
CNGA1,-0.16384545518725066,0.3471481452241219,0.313,0.313,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
CNIH2,-0.013169217841146497,0.32715183364542283,0.496,0.496,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
CNTROB,-0.09730854079475121,0.31593577536682654,0.387,0.387,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
COBLL1,0.016812804814571897,0.3469162814834964,0.523,0.477,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
COG4,-0.21783858005183424,0.33517176439378654,0.244,0.244,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
COMMD7,-0.18853047611605975,0.35736941927163324,0.301,0.301,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
COX11,0.16680691600333747,0.3457557503539257,0.69,0.31000000000000005,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
CPSF1,0.11812184161873818,0.32803383657531515,0.644,0.356,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
CPXM1,0.13583134970220695,0.3336266046088249,0.65,0.35,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
CST6,-0.13589411238281113,0.31381632659174796,0.341,0.341,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
CSTF2T,-0.10256658212170472,0.3365215975492089,0.375,0.375,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
CTAGE4,-0.04786872850415303,0.3294128470278035,0.437,0.437,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
CTXN3,0.011077493830885647,0.3320218003168096,0.518,0.482,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
CUBN,0.12078558500289763,0.3338854124780667,0.631,0.369,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
CUEDC2,-0.021514641969691786,0.3307243389967003,0.463,0.463,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
CXCL10,0.1022930976699572,0.3269411391713929,0.606,0.394,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
