gene,dir,fdr,log2fc,neglog10_fdr,abs_log2fc,hit
CIB1,pos,0.943705,0.13035,0.025163743937729945,0.13035,False
WDR83,neg,1.0,0.077826,-0.0,0.077826,False
MTMR9,neg,1.0,0.15981,-0.0,0.15981,False
GLI3,neg,1.0,-0.0077443,-0.0,0.0077443,False
NGEF,neg,1.0,0.16958,-0.0,0.16958,False
BDP1,neg,1.0,0.25116,-0.0,0.25116,False
LIPM,neg,1.0,0.19456,-0.0,0.19456,False
LRRC18,neg,1.0,0.12529,-0.0,0.12529,False
TMEM219,neg,1.0,0.15334,-0.0,0.15334,False
TPCN2,neg,1.0,0.050789,-0.0,0.050789,False
RPP30,pos,0.997392,0.47448,0.0011341195443541796,0.47448,False
FOXL2NB,neg,1.0,0.021712,-0.0,0.021712,False
SPP2,neg,1.0,0.12745,-0.0,0.12745,False
PMM2,pos,0.46363,0.39511,0.3338284700058508,0.39511,False
CASC10,neg,1.0,0.18334,-0.0,0.18334,False
AMT,neg,1.0,0.14068,-0.0,0.14068,False
SCGB2A1,neg,1.0,0.11047,-0.0,0.11047,False
HSPB7,neg,1.0,0.10529,-0.0,0.10529,False
TTC25,neg,1.0,0.034472,-0.0,0.034472,False
ANAPC1,neg,1.0,0.12921,-0.0,0.12921,False
CHSY1,neg,1.0,0.11047,-0.0,0.11047,False
PPWD1,neg,1.0,-0.07505,-0.0,0.07505,False
THOP1,neg,1.0,0.058746,-0.0,0.058746,False
HIST2H3C,neg,1.0,0.24988,-0.0,0.24988,False
SHANK3,neg,1.0,-0.0094513,-0.0,0.0094513,False
CD276,neg,1.0,-1.9893e-05,-0.0,1.9893e-05,False
CIITA,neg,1.0,-0.036801,-0.0,0.036801,False
TNFRSF11A,neg,1.0,0.14388,-0.0,0.14388,False
RSPH4A,neg,1.0,0.099391,-0.0,0.099391,False
C18orf54,neg,1.0,0.10372,-0.0,0.10372,False
FCN3,neg,1.0,0.21693,-0.0,0.21693,False
NDUFA12,neg,1.0,0.21593,-0.0,0.21593,False
