gene,baseMean,n_sgrna,median_lfc,sign_consistency,mad_lfc,wald_beta,wald_se,wald_z,wald_p,composite_rank,confirm_sign_consistency
SLAIN2,245.99034933436332,4,0.2782842011653318,0.75,0.18067201952892029,0.10523303026458553,0.031925835580198375,3.2961715285489688,0.0009801215347307046,17905.5,0.75
LOC100129924,523.2845538709868,4,-0.23201749795085208,0.75,0.12224444032547173,-0.08427521407740235,0.021875116423316163,-3.852560710834682,0.00011688898265993508,17907.5,0.75
HLCS,310.1590315476016,4,-0.3214393100209253,0.625,0.3192766859589129,-0.18995923211299326,0.028516165551894488,-6.661457753403076,2.7112534439766023e-11,17913.0,0.5
TUBGCP5,386.6500252246824,4,-0.4405857870110559,0.625,0.20877517985996463,-0.14261562399365746,0.025492577117512565,-5.59439806090398,2.2138849864461463e-08,17915.0,0.75
ORC3,323.71268881844935,4,-0.245930313007495,0.625,0.3014435932906306,-0.2597103562447508,0.028017505549644408,-9.269574544549238,0.0,17919.0,0.75
TRAM1L1,448.1992160820163,4,0.17718716851854985,0.75,0.2139606810391873,0.11912724009588072,0.023663042390229774,5.0343163035141725,4.795572843274698e-07,17922.5,1.0
CCDC174,176.07002648469506,4,0.09171251925585422,0.875,0.3495075844140611,0.19946392852695644,0.03787483200479685,5.266397709742827,1.3912670926430337e-07,17927.5,0.75
GPR52,372.3773886350284,4,-0.1825883187685906,0.875,0.10471073495507609,-0.07382819931814633,0.025926277426917638,-2.8476205088160906,0.004404741408776669,17948.5,1.0
OR10A3,319.07105019134275,4,0.2013678945346538,0.75,0.13145412240157334,0.12324505478724046,0.028048005600788264,4.394075519714556,1.1124514158744603e-05,17948.5,0.75
PDCD6IP,493.86810815814914,4,-0.13240854181657835,1.0,0.1482930375624244,-0.07177856200377519,0.022513021039593795,-3.188313193397624,0.0014310544295608185,17955.5,1.0
UGT3A2,555.002425223404,4,0.244713112851079,0.625,0.19779236892607938,0.19011502410476044,0.021324721241711996,8.91524076445548,0.0,17959.0,0.5
CBLN1,417.3417140117412,4,-0.2084242233949885,0.75,0.20759753587972646,-0.10417964763915055,0.024506581062857285,-4.251088610522156,2.1273397518228876e-05,17962.5,0.75
ZSCAN1,308.3570924274402,4,0.2512146203599621,0.75,0.10363260965166875,0.10227897485226112,0.028513096643717283,3.5870875804995306,0.00033439203413565544,17962.5,0.75
EIF2A,302.47643242617926,4,-0.2956715468893861,0.625,0.3355152617874067,-0.20600106163573328,0.028898047712528744,-7.128545972550995,1.014299755297543e-12,17963.0,0.75
ATP6V0C,245.0220650599167,4,-0.3441492768691776,0.625,0.36210470453479804,-0.20125102831651986,0.03210015395967707,-6.26947236979995,3.6227354449636096e-10,17964.0,0.75
HOXD10,682.2411235698462,4,-0.10736679191365142,0.75,0.12965842324849702,-0.17466086783736157,0.019213662976047922,-9.090451313479203,0.0,17982.5,0.75
PHLPP1,178.25049855040723,4,-0.23726267940269566,0.75,0.28712103792657184,-0.14061501556517708,0.037539351386211894,-3.7458030139760115,0.00017981765332319988,17986.5,0.5
HLX,176.5473503711802,4,0.24372471445700658,0.625,0.37068727109141697,0.32797066302697003,0.038150574698022105,8.596742398325484,0.0,17989.0,0.75
WRNIP1,515.9454474234186,4,-0.17300905634011496,0.75,0.16734366158200603,-0.11238816503609816,0.022044745435054792,-5.098183844635484,3.429276869137965e-07,17991.5,0.75
NRTN,517.7593862435021,4,-0.22877262522098601,0.75,0.11269538287694744,-0.08505958427565119,0.021990685774501566,-3.8679823425187894,0.0001097396091793712,17991.5,0.75
GLCE,349.19116307765387,4,-0.16852724283004622,0.75,0.2929690864893827,-0.1399109529432272,0.026819697947247735,-5.216723664018184,1.8211563790337948e-07,17992.5,0.75
GRIN2B,271.762673410013,4,-0.11299052014115901,0.875,0.20704376346214828,-0.13391847156758874,0.030396251262374042,-4.405756170773583,1.0541548915332655e-05,17995.5,0.75
KIAA0430,265.9528933099242,4,0.26342325869061783,0.75,0.13393706253413484,0.1051726754879192,0.030705808891077355,3.4251719556061198,0.0006144104151801777,17996.5,0.75
PRR36,407.4688319266629,4,0.27266378976555106,0.625,0.20712987999351504,0.1973584448022222,0.02489608384868284,7.927288725478153,2.220446049250313e-15,18001.0,0.75
PSMA5,171.61027143860576,4,-0.5320337260737716,0.75,0.13841038155599206,0.09162416189023459,0.0382188240903222,2.397356906473628,0.016513829654595247,18003.5,0.75
ZAR1,312.9969057287943,4,0.19374795509570675,0.75,0.07016749851669485,-0.12858442074808363,0.028313719103605833,-4.541417546651723,5.587723941768985e-06,18003.5,0.75
KLK9,442.7969907683301,4,-0.10974214285223259,0.875,0.14596508154534105,-0.10737781171281768,0.023790245488030912,-4.5135226438432685,6.375963859106548e-06,18011.5,1.0
CT47A10,129.05077287082045,4,0.36721441417540235,0.625,0.48918787479502235,0.26569518277517495,0.04441458904525239,5.982160107447306,2.201976601057254e-09,18012.0,0.5
FITM2,358.6262328693785,4,-0.21253611566113934,0.75,0.14029905643774815,-0.10985429170699201,0.026442213561129083,-4.154504366778181,3.259933921184732e-05,18015.5,0.75
NME9,526.6769178216151,4,0.2658409121922064,0.75,0.07332293754689234,0.0738120555001851,0.02180299778450647,3.385408567652886,0.0007107238235104507,18016.5,0.75
MRPL44,383.5490474879498,4,0.14882396742471768,0.875,0.07066427186779703,0.08759084742514067,0.02555822154989256,3.427110421362979,0.000610040949641899,18018.5,1.0
TSPAN15,504.8730342422033,4,0.13640452237483708,0.75,0.17664851427980827,0.1469982629647294,0.022314777021806394,6.5874851817286855,4.473377224201158e-11,18022.5,1.0
ADAMTSL3,264.49405444674125,4,0.2203949546357361,0.75,0.13015482944535647,0.12367005297944533,0.03080916464386709,4.014067061180876,5.9681378048681566e-05,18022.5,0.75
MUC3A,254.04960157412026,4,-0.33138476821012375,0.625,0.4725649110091854,-0.20103336776164882,0.03152096312478796,-6.377767296188897,1.7968826426795204e-10,18024.0,0.75
OPA1,218.31828767809395,4,0.330415138989408,0.625,0.46778408728375104,0.21771597185019143,0.03404922794009366,6.394152966793895,1.6143975045679326e-10,18024.0,0.75
NR2F6,320.3135440965293,4,-0.2307751578227394,0.75,0.18735620627857524,-0.10705152698940501,0.027973214814939442,-3.8269297146437675,0.0001297515436915475,18024.5,0.75
MTCH2,254.464048654228,4,0.30402088580855047,0.625,0.4223032702409273,0.21643639656319957,0.03153372900403606,6.863647383266898,6.7124084068836964e-12,18025.0,0.75
DNAI2,226.01832827852076,4,-0.1923013439077027,0.75,0.443980075530369,-0.15226684453574402,0.033350897054811035,-4.565599668443664,4.980684808808533e-06,18028.5,0.75
CCNA2,164.2117954019961,4,-0.4339261487757047,0.625,0.3531794328137111,-0.21689796786176452,0.039239680844192805,-5.527516106030304,3.247964186492425e-08,18034.0,0.75
OR10H2,327.55577477590447,4,-0.289174613423293,0.625,0.21757061551711654,-0.20075535666452582,0.02776237197629899,-7.231203329308916,4.787281682183675e-13,18037.0,0.5
FAM231A,153.1897898729079,4,-0.2825225974219819,0.625,0.6773761160657992,-0.3032647918962148,0.04086092560321811,-7.4218776843452225,1.1546319456101628e-13,18039.5,0.5
MYRF,697.7186015566788,4,-0.24826918216644,0.75,0.04593994632254724,-0.06795899638867942,0.018938769897871754,-3.5883532433812566,0.0003327732232740743,18040.5,0.75
STT3A,284.81442519134026,4,0.2569074069888351,0.75,0.23457432633145647,0.10339592965439226,0.029669755569876905,3.4848932075250403,0.0004923334948572222,18044.5,0.75
P2RY11,539.4107446155462,4,-0.14464838050378573,0.75,0.22337044300067993,-0.1316446367249735,0.021572231795247497,-6.102504273756955,1.0441931763693901e-09,18045.5,0.75
LRRIQ4,205.49849241021496,4,-0.36441265333643524,0.75,0.15302139339079723,-0.0949134253342867,0.03491248841471535,-2.718609576230648,0.006555693769775051,18045.5,0.75
C11orf94,332.77448991727505,4,-0.2672530291395418,0.625,0.2461421750531453,-0.22363430824819708,0.027571886429783535,-8.11095420756645,4.440892098500626e-16,18049.0,0.5
NTRK1,345.31773972743173,4,-0.1844367275496754,0.75,0.21311416223767607,-0.1282184405203588,0.026958702955339583,-4.756105689979539,1.9736316982932323e-06,18052.5,0.5
CCDC183,292.1262498243824,4,0.13673756492467515,0.875,0.13437179248254424,0.1084383840098766,0.02929947123198822,3.7010355289786614,0.00021472140575351517,18052.5,0.75
F9,474.40813843356244,4,-0.1549901903169339,0.75,0.31341861247228614,-0.1294215058770305,0.02299912415243745,-5.627236281661378,1.8311981708762914e-08,18052.5,0.75
FAM35A,330.80750877106163,4,-0.26565659950269194,0.75,0.19734859326943094,-0.09275807454208218,0.0275190397947918,-3.370687176361342,0.0007498094913964692,18058.5,1.0
ZNF397,252.91398674345012,4,0.19205738234733388,0.875,0.10419398438901992,0.08339324493446076,0.03147071378799535,2.6498682392857424,0.00805231676506235,18069.5,0.75
HOGA1,316.30808353069193,4,-0.21803057143021193,0.75,0.16539898870695124,-0.11387077050872463,0.02815722450523734,-4.044104932556271,5.252339306549558e-05,18073.5,0.75
TOX3,625.0319727840283,4,0.2568274618415981,0.75,0.14564499182733626,0.0695302134777569,0.020012496636856284,3.474339795750703,0.0005121120676876423,18074.5,0.75
TBX4,423.0149837277566,4,-0.16211770908058848,0.875,0.07550161413697401,-0.07635670432639818,0.024326513776544555,-3.138826427320661,0.0016962589051900956,18078.5,1.0
