gene,beta_sd_nuts,eb_mu_logphi_batch,eb_tau_beta_scale,chains,psp_nuts,eb_sigma_logphi,draws,n_obs,lfsr_nuts,n_sample,tune,eb_tau_u_scale,batch_no,n_sgrna,beta_mean_nuts
IMPAD1,0.1114067705120118,1.5665168278530832,0.11494520954412,3,0.0693333333333333,0.7084472251108588,1000,16,0.0693333333333333,4,1500,0.4684258567770211,5,4,-0.1713488579196975
IMPDH1,0.1092559143456123,1.5561944696080865,0.11494520954412,3,0.19,0.7084472251108588,1000,16,0.19,4,1500,0.4684258567770211,9,4,-0.0965108713905684
IMPDH2,0.1093802863848639,1.5639467862677976,0.11494520954412,3,0.2366666666666666,0.7084472251108588,1000,16,0.2366666666666666,4,1500,0.4684258567770211,3,4,-0.0808850671399769
INAFM1,0.114472325114776,1.5639467862677976,0.11494520954412,3,0.0723333333333333,0.7084472251108588,1000,16,0.0723333333333333,4,1500,0.4684258567770211,3,4,-0.1677978331129982
INAFM2,0.107941660206756,1.5697311140197716,0.11494520954412,3,0.0806666666666666,0.7084472251108588,1000,16,0.0806666666666666,4,1500,0.4684258567770211,6,4,-0.1536296173218113
INCENP,0.11998688833812,1.5706860989184106,0.11494520954412,3,0.061,0.7084472251108588,1000,16,0.061,4,1500,0.4684258567770211,1,4,-0.1809433114630409
ING1,0.1115758999914283,1.5658840941099257,0.11494520954412,3,0.9936666666666668,0.7084472251108588,1000,16,0.0063333333333333,4,1500,0.4684258567770211,7,4,0.2837218404761613
ING2,0.1118511988904418,1.5627110919231797,0.11494520954412,3,0.163,0.7084472251108588,1000,16,0.163,4,1500,0.4684258567770211,2,4,-0.1053879270897749
ING4,0.1091791214740749,1.5697311140197716,0.11494520954412,3,0.0746666666666666,0.7084472251108588,1000,16,0.0746666666666666,4,1500,0.4684258567770211,6,4,-0.1556664586000112
INHBE,0.1205693501329212,1.5706860989184106,0.11494520954412,3,0.9706666666666668,0.7084472251108588,1000,16,0.0293333333333333,4,1500,0.4684258567770211,1,4,0.2348898568641485
INO80,0.1162158160519244,1.5658840941099257,0.11494520954412,3,0.993,0.7084472251108588,1000,16,0.007,4,1500,0.4684258567770211,7,4,0.2991674213998281
