gene,nb_improved_effect,nb_improved_psp,nb_improved_lfsr,bb_effect,bb_psp,bb_lfsr,pl_effect,pl_psp,pl_lfsr,nb_joint_effect,nb_joint_psp,nb_joint_lfsr
SRSF5,-0.244,0.278,0.278,-0.474,0.025,0.025,-0.476,0.0,0.0,-0.6617894915051776,0.069,0.069
STAT5A,0.409,0.811,0.1889999999999999,0.795,1.0,0.0,0.904,1.0,0.0,0.2303683793621453,0.689,0.311
STAT5B,0.595,0.923,0.0769999999999999,1.463,1.0,0.0,1.27,1.0,0.0,0.6149471207701748,0.919,0.0809999999999999
STK11,-0.235,0.28,0.28,-0.625,0.004,0.004,-0.539,0.0,0.0,-0.8338501944405924,0.018,0.018
STT3B,0.208,0.693,0.307,0.373,0.932,0.0679999999999999,0.407,1.0,0.0,-0.0572805721985413,0.46,0.46
SUV420H1,0.196,0.682,0.3179999999999999,0.546,0.979,0.021,0.389,1.0,0.0,0.0420873061692876,0.536,0.4639999999999999
SYMPK,0.137,0.601,0.399,0.588,0.992,0.008,0.369,1.0,0.0,-0.0309364412223267,0.463,0.463
SYVN1,0.19,0.675,0.3249999999999999,0.451,0.98,0.02,0.656,1.0,0.0,-0.0832618257069915,0.417,0.417
TAF12,0.302,0.771,0.2289999999999999,0.734,0.997,0.003,0.82,1.0,0.0,0.097842716441461,0.576,0.424
TAF2,0.343,0.786,0.2139999999999999,0.796,0.997,0.003,0.911,1.0,0.0,0.1727437443881072,0.641,0.359
TAF5,0.25,0.719,0.281,0.601,0.989,0.011,0.647,1.0,0.0,0.0622487164070597,0.545,0.4549999999999999
TAF6,0.491,0.867,0.133,1.007,1.0,0.0,1.044,1.0,0.0,0.297637348969435,0.722,0.278
TAF6L,0.228,0.7,0.3,0.546,0.978,0.022,0.67,1.0,0.0,-0.0342514200346975,0.466,0.466
TANGO6,0.22,0.701,0.299,0.66,0.994,0.006,0.615,1.0,0.0,0.0571882680681358,0.561,0.4389999999999999
TARDBP,-0.204,0.312,0.312,-0.471,0.032,0.032,-0.487,0.0,0.0,-0.6820962585972326,0.079,0.079
TBL1XR1,-0.384,0.185,0.185,-0.795,0.001,0.001,-0.776,0.0,0.0,-0.908223204221902,0.026,0.026
TDG,0.254,0.728,0.272,0.588,0.994,0.006,0.562,1.0,0.0,-0.027320321587412,0.499,0.499
TET2,0.328,0.787,0.2129999999999999,0.831,1.0,0.0,0.898,1.0,0.0,0.2058747818638363,0.694,0.306
TGFBR1,0.69,0.961,0.039,1.873,1.0,0.0,1.56,1.0,0.0,1.0415197124329163,0.99,0.01
TGFBR2,0.697,0.957,0.043,1.655,1.0,0.0,1.565,1.0,0.0,1.0058216496731582,0.988,0.012
TIAL1,0.145,0.617,0.383,0.441,0.954,0.046,0.347,1.0,0.0,-0.0818419841952009,0.433,0.433
TLE3,-0.319,0.194,0.194,-0.814,0.0,0.0,-0.767,0.0,0.0,-1.003965647318031,0.01,0.01
