gene,beta_mean_nuts,beta_sd_nuts,p_beta_gt_0_norm,p_beta_lt_0_norm,psp_norm,lfsr_norm,p_abs_beta_ge_0_3_norm,p_abs_beta_ge_0_5_norm,n_obs,n_sgrna,n_sample,chains,draws,tune,hit,psp_delta,lfsr_delta,p_abs_0_3_delta,p_abs_0_5_delta
MAPK6,0.0881939951371195,0.1089434425838925,0.7908974883658156,0.20910251163418436,0.7908974883658156,0.20910251163418436,0.02611982238203772,7.8448273358833e-05,16,4,4,3,1000,1500,False,-0.002769178300850994,0.0027691783008510495,0.00045315571537111674,-0.0005882183933077669
MAPK7,0.059192839033033,0.1169601216837247,0.6936047384457109,0.30639526155428903,0.6936047384457109,0.30639526155428903,0.020819204623478926,8.286695227708605e-05,16,4,4,3,1000,1500,False,-0.0003952615542890392,0.0003952615542890392,0.0008192046234789252,-0.0005837997143895139
MAPKAP1,0.2373041409159881,0.1244123733394457,0.9717655849078708,0.028234415092129247,0.9717655849078708,0.028234415092129247,0.3071610635996107,0.01736497976441677,16,4,4,3,1000,1500,False,0.00043225157453741225,-0.00043225157453735327,-0.0015056030670558829,-0.004301686902249833
MARVELD3,-0.2200381049438931,0.1089158778258694,0.02167834908149524,0.9783216509185048,0.9783216509185048,0.02167834908149524,0.23142591525928807,0.005078448635211266,16,4,4,3,1000,1500,False,0.9566549842518381,1.168241482863916e-05,0.0020925819259547673,-0.0005882180314553346
MAS1,0.1212336995113519,0.109091371767246,0.8667812836820421,0.1332187163179579,0.8667812836820421,0.1332187163179579,0.05069592400101536,0.0002582950222075287,16,4,4,3,1000,1500,False,-0.0022187163179578917,0.0022187163179578917,0.00236259066768206,0.0002582950222075287
MASP1,0.0365044361687645,0.1160886901723798,0.6234114937298166,0.37658850627018337,0.6234114937298166,0.37658850627018337,0.013484187133240512,3.458137873595071e-05,16,4,4,3,1000,1500,False,0.007744827063149939,-0.007744827063149939,-0.0008491462000927881,-0.0002987519545973493
MAST2,-0.0341907650161185,0.1093867684025476,0.3773045799286552,0.6226954200713448,0.6226954200713448,0.3773045799286552,0.008674344061165337,1.0817271111322414e-05,16,4,4,3,1000,1500,False,0.24902875340467823,0.00363791326198859,-0.0009923226055012623,1.0817271111322414e-05
MAT2A,-0.0809513420146831,0.1148703035710407,0.2404924092204186,0.7595075907795814,0.7595075907795814,0.2404924092204186,0.028721363643299302,0.00013234924895887227,16,4,4,3,1000,1500,False,0.5198409241129148,0.0008257425537519791,0.0023880303099660036,-0.00020098408437442772
MAT2B,0.1620681545051108,0.1074268187650485,0.9343043096359103,0.06569569036408977,0.9343043096359103,0.06569569036408977,0.09958629348573599,0.0008284680968316518,16,4,4,3,1000,1500,False,0.0023043096359102178,-0.0023043096359101206,-0.003413706514264009,0.0004951347634983518
MATK,-0.1249806554355176,0.1075114213911497,0.12251880256532544,0.8774811974346746,0.8774811974346746,0.12251880256532544,0.05181017136609648,0.00024316203846162375,16,4,4,3,1000,1500,False,0.7551478641013413,0.00018546923199214138,0.002476838032763183,-0.0004235046282049762
MAU2,-0.2753534140937413,0.1231376016315326,0.012671168690373102,0.9873288313096269,0.9873288313096269,0.012671168690373102,0.4206812339617603,0.03404927989845915,16,4,4,3,1000,1500,False,0.9726621646429603,-0.001995497976293498,0.0006812339617603413,0.002382613231792549
MAZ,0.2232978324969251,0.1165368214119024,0.9723247052812019,0.02767529471879819,0.9723247052812019,0.02767529471879819,0.255214895382874,0.008789333179593403,16,4,4,3,1000,1500,False,0.0006580386145350614,-0.00065803861453511,-0.009451771283792598,0.0011226665129268022
MBD1,-0.2105567033429092,0.1203005065435691,0.040037060507229216,0.9599629394927708,0.9599629394927708,0.040037060507229216,0.2286008156230045,0.008064083109908304,16,4,4,3,1000,1500,False,0.9226296061594375,0.0027037271738959145,0.005934148956337898,-0.000935916890091695
