gene,chains,tune,beta_mean_nuts,psp_nuts,lfsr_nuts,n_obs,beta_sd_nuts,n_sgrna,draws,n_sample,p_abs_beta_ge_0_3,p_abs_beta_ge_0_5,p_beta_gt_0,p_beta_lt_0,psp_draws,lfsr_draws,hit
APLP2,2,1000,-0.1396135016183923,0.1115,0.1115,16,0.114760244283742,4,1000,4,0.0845,0.0,0.1115,0.8885,0.1115,0.1115,False
APOA5,2,1000,-0.2111381010920337,0.0465116279069767,0.0465116279069767,16,0.1278793615496472,4,1000,4,0.27906976744186046,0.0,0.046511627906976744,0.9534883720930233,0.046511627906976744,0.046511627906976744,False
APOBEC2,2,1000,-0.2019526557830979,0.0295,0.0295,16,0.1043126999104075,4,1000,4,0.17,0.003,0.0295,0.9705,0.0295,0.0295,False
APOBEC3A,2,1000,0.1414584361950418,0.919,0.0809999999999999,16,0.1013873233561703,4,1000,4,0.0625,0.0,0.919,0.081,0.919,0.08099999999999996,False
APOL4,2,1000,0.1190389457353968,0.849,0.151,16,0.1155054052808605,4,1000,4,0.057,0.001,0.849,0.151,0.849,0.15100000000000002,False
APOM,2,1000,-0.0734541282742763,0.229,0.229,16,0.0981987976180567,4,1000,4,0.0095,0.0,0.229,0.771,0.229,0.229,False
APOOL,2,1000,-0.0914184125365239,0.175,0.175,16,0.0964339816071008,4,1000,4,0.014,0.0,0.175,0.825,0.175,0.175,False
APOPT1,2,1000,0.2004899028844002,0.9735,0.0264999999999999,16,0.1055926571514015,4,1000,4,0.181,0.003,0.9735,0.0265,0.9735,0.026499999999999968,False
AQP1,2,1000,-0.0925214397862965,0.1785,0.1785,16,0.0982105446276647,4,1000,4,0.0155,0.0,0.1785,0.8215,0.1785,0.1785,False
AQP3,2,1000,0.2370751981272799,0.942,0.058,16,0.146269329269936,4,1000,4,0.3415,0.035,0.942,0.058,0.942,0.05800000000000005,False
AQP5,2,1000,-0.0552242112193431,0.2685,0.2685,16,0.0919355758778038,4,1000,4,0.0045,0.0,0.2685,0.7315,0.2685,0.2685,False
AR,2,1000,0.1874872211583939,0.9645,0.0354999999999999,16,0.10388280274942,4,1000,4,0.126,0.001,0.9645,0.0355,0.9645,0.035499999999999976,False
ARAP1,2,1000,-0.1834289456313494,0.041,0.041,16,0.105164698902559,4,1000,4,0.139,0.001,0.041,0.959,0.041,0.041,False
ARF1,2,1000,-0.285700058087186,0.0232558139534883,0.0232558139534883,16,0.1269652912232418,4,1000,4,0.5116279069767442,0.046511627906976744,0.023255813953488372,0.9767441860465116,0.023255813953488372,0.023255813953488372,False
ARF6,2,1000,-0.1396978425641423,0.1135,0.1135,16,0.11435337688484,4,1000,4,0.078,0.0005,0.1135,0.8865,0.1135,0.1135,False
ARFGEF1,2,1000,0.1929469653275389,0.9555,0.0444999999999999,16,0.1151387395239102,4,1000,4,0.1765,0.0035,0.9555,0.0445,0.9555,0.044499999999999984,False
ARGFX,2,1000,-0.1138214699265636,0.124,0.124,16,0.0986150194012832,4,1000,4,0.034,0.0,0.124,0.876,0.124,0.124,False
ARGLU1,2,1000,-0.6091747001985701,0.0,0.0,16,0.1531303618357632,4,1000,4,0.9815,0.76,0.0,1.0,0.0,0.0,True
ARHGAP11B,2,1000,0.2019939905553558,0.95,0.05,16,0.120362041335203,4,1000,4,0.2145,0.0075,0.95,0.05,0.95,0.050000000000000044,False
ARHGAP20,2,1000,-0.0694560433860556,0.2305,0.2305,16,0.0939517125308007,4,1000,4,0.008,0.0,0.2305,0.7695,0.2305,0.2305,False
ARHGAP24,2,1000,0.0870372352684293,0.834,0.166,16,0.0868118727023477,4,1000,4,0.0065,0.0,0.834,0.166,0.834,0.16600000000000004,False
ARHGAP30,2,1000,0.1535328007398215,0.9415,0.0584999999999999,16,0.0964939943454944,4,1000,4,0.063,0.0,0.9415,0.0585,0.9415,0.058499999999999996,False
ARHGDIG,2,1000,0.0921667673709569,0.8385,0.1614999999999999,16,0.0919436397856702,4,1000,4,0.012,0.0,0.8385,0.1615,0.8385,0.16149999999999998,False
ARHGEF1,2,1000,0.3557740421731671,0.9865,0.0134999999999999,16,0.1573042944674945,4,1000,4,0.6415,0.183,0.9865,0.0135,0.9865,0.013499999999999956,False
ARHGEF12,2,1000,0.1106052189655267,0.8785,0.1215,16,0.0944010204409719,4,1000,4,0.0185,0.0,0.8785,0.1215,0.8785,0.12150000000000005,False
ARHGEF19,2,1000,0.1310515339244709,0.924,0.0759999999999999,16,0.0913218046971568,4,1000,4,0.0355,0.0,0.924,0.076,0.924,0.07599999999999996,False
ARID1A,2,1000,0.9377131216544652,1.0,0.0,16,0.1706219086554018,4,1000,4,1.0,1.0,1.0,0.0,1.0,0.0,True
ARID2,2,1000,-0.4314030730685866,0.0005,0.0005,16,0.1485574466504029,4,1000,4,0.7995,0.3265,0.0005,0.9995,0.0005,0.0005,False
ARID4B,2,1000,0.2653252744643375,0.9535,0.0464999999999999,16,0.159277568771416,4,1000,4,0.4175,0.07,0.9535,0.0465,0.9535,0.046499999999999986,False
ARIH1,2,1000,-0.9005256773953135,0.0,0.0,16,0.1806030131738302,4,1000,4,0.998,0.936,0.0,1.0,0.0,0.0,True
ARIH2,2,1000,0.3166488598170885,1.0,0.0,16,0.1344452185175244,4,1000,4,0.46511627906976744,0.11627906976744186,1.0,0.0,1.0,0.0,False
ARL14EPL,2,1000,-0.2109623453776704,0.1162790697674418,0.1162790697674418,16,0.2196291959359159,4,1000,4,0.37209302325581395,0.09302325581395349,0.11627906976744186,0.8837209302325582,0.11627906976744186,0.11627906976744186,False
ARL17A,2,1000,-0.0708549656296844,0.221,0.221,16,0.0944616291806864,4,1000,4,0.0085,0.0,0.221,0.779,0.221,0.221,False
ARL6IP6,2,1000,-0.5126061824588984,0.0,0.0,16,0.1503472598135531,4,1000,4,0.9315,0.523,0.0,1.0,0.0,0.0,True
ARMC7,2,1000,0.5291938682303875,0.9985,0.0014999999999999,16,0.1703281216569139,4,1000,4,0.9935,0.878,1.0,0.0,1.0,0.0,True
ARMCX4,2,1000,-0.1099575566436469,0.107,0.107,16,0.0920364718364208,4,1000,4,0.0205,0.0,0.107,0.893,0.107,0.107,False
ARMCX6,2,1000,-0.0838689327400766,0.1855,0.1855,16,0.101260480862261,4,1000,4,0.0165,0.0,0.1855,0.8145,0.1855,0.1855,False
ARMT1,2,1000,-0.1351842004176549,0.0825,0.0825,16,0.098707681578584,4,1000,4,0.044,0.0005,0.0825,0.9175,0.0825,0.0825,False
ARPC2,2,1000,-0.5506937587414664,0.0,0.0,16,0.148804086583908,4,1000,4,0.9515,0.639,0.0,1.0,0.0,0.0,True
ARPC3,2,1000,-0.159610499637765,0.072,0.072,16,0.1052928177855294,4,1000,4,0.093,0.0005,0.072,0.928,0.072,0.072,False
ARPC5,2,1000,-0.2407599931763262,0.0232558139534883,0.0232558139534883,16,0.1598952382787319,4,1000,4,0.4186046511627907,0.023255813953488372,0.023255813953488372,0.9767441860465116,0.023255813953488372,0.023255813953488372,False
ARR3,2,1000,-0.1451938271925164,0.0945,0.0945,16,0.1087456346287702,4,1000,4,0.077,0.001,0.0945,0.9055,0.0945,0.0945,False
ARSE,2,1000,-0.2796851864843215,0.0,0.0,16,0.1186033454317508,4,1000,4,0.3953488372093023,0.046511627906976744,0.0,1.0,0.0,0.0,False
ARV1,2,1000,-0.1629658052512622,0.068,0.068,16,0.1080377100569789,4,1000,4,0.113,0.0,0.068,0.932,0.068,0.068,False
ASAH2B,2,1000,0.2732051854881175,1.0,0.0,16,0.1005829326010459,4,1000,4,0.37209302325581395,0.0,1.0,0.0,1.0,0.0,False
ASAP2,2,1000,0.1942625958024561,0.9625,0.0374999999999999,16,0.1039696491437012,4,1000,4,0.153,0.0015,0.9625,0.0375,0.9625,0.03749999999999998,False
ASB11,2,1000,0.106219575166592,0.828,0.172,16,0.115142471366202,4,1000,4,0.0465,0.0005,0.828,0.172,0.828,0.17200000000000004,False
